article,keywords,volume,issue,year
1,reliability,63,1,2003
1,Cronbach’s alpha,63,1,2003
1,asymptotic distribution,63,1,2003
1,multivariate kurtosis,63,1,2003
1,quantile-quantile plot,63,1,2003
2,bootstrap,63,1,2003
2,resampling,63,1,2003
2,nonparametric inference,63,1,2003
2,sample results replicability,63,1,2003
3,DIF detection,63,1,2003
3,standardization procedure,63,1,2003
3,large-scale assessment,63,1,2003
3,two-stage DIF,63,1,2003
4,item analysis,63,1,2003
4,differential item functioning,63,1,2003
4,depression,63,1,2003
4,gender effects,63,1,2003
4,CES-D,63,1,2003
5,reliability generalization studies,63,1,2003
5,mixed-effects models,63,1,2003
5,Beck Depression Inventory,63,1,2003
6,motivation,63,1,2003
6,appraisals of curricular tasks,63,1,2003
6,task-specific measurement,63,1,2003
6,confirmatory factor analysis,63,1,2003
6,On-Line Motivation Questionnaire,63,1,2003
7,self-control,63,1,2003
7,factor analysis,63,1,2003
7,higher order models,63,1,2003
7,weighted least squares,63,1,2003
8,mathematics self-efficacy,63,1,2003
8,factor structure,63,1,2003
8,score validity,63,1,2003
8,score reliability,63,1,2003
9,technology use,63,1,2003
9,validation,63,1,2003
9,survey development,63,1,2003
9,exploratory factor analysis,63,1,2003
10,self-esteem,63,1,2003
10,cross-age,63,1,2003
10,mean and covariance structures,63,1,2003
10,confirmatory factor analysis,63,1,2003
10,measurement invariance,63,1,2003
11,State-Trait Anxiety Inventory for Children,63,1,2003
11,psychometric properties,63,1,2003
11,French translation,63,1,2003
1,reliability estimation,63,2,2003
1,incomplete reliability data,63,2,2003
1,congeneric part-tests,63,2,2003
1,tau-equivalent part-tests,63,2,2003
2,missing data,63,2,2003
2,hierarchical linear models,63,2,2003
2,missing data treatments,63,2,2003
3,omitted test items,63,2,2003
3,psychological predictors of omitting,63,2,2003
3,short-response omit,63,2,2003
3,self-concept,63,2,2003
3,test anxiety,63,2,2003
3,sex differences in omit behavior,63,2,2003
4,adaptive testing,63,2,2003
4,item selection,63,2,2003
4,stratification design,63,2,2003
4,content balancing,63,2,2003
5,multiple correlation,63,2,2003
5,multiple regression,63,2,2003
5,effect size,63,2,2003
5,reporting research results,63,2,2003
6,reliability generalization,63,2,2003
6,Differential Emotions Scale,63,2,2003
6,self-report,63,2,2003
7,self-concept,63,2,2003
7,measurement invariance,63,2,2003
7,confirmatory factor analysis,63,2,2003
7,NELS: 88,63,2,2003
8,depression,63,2,2003
8,measurement,63,2,2003
8,validity,63,2,2003
8,structural equations modeling,63,2,2003
9,math anxiety,63,2,2003
9,assessment,63,2,2003
9,factor analysis,63,2,2003
1,score reliability,63,3,2003
1,group heterogeneity,63,3,2003
1,performance,63,3,2003
1,measurement error,63,3,2003
2,Rasch,63,3,2003
2,self-efficacy,63,3,2003
2,rating scales,63,3,2003
2,validity,63,3,2003
3,logistic regression,63,3,2003
3,best subsets,63,3,2003
3,stepwise,63,3,2003
3,variable selection,63,3,2003
4,meta-analysis,63,3,2003
4,reliability generalization,63,3,2003
4,alcohol screening,63,3,2003
4,the AUDIT,63,3,2003
5,underachievement,63,3,2003
5,instrument validation,63,3,2003
5,motivation,63,3,2003
5,gifted underachiever,63,3,2003
5,high school students,63,3,2003
6,learning strategies,63,3,2003
6,LASSI-HS,63,3,2003
6,latent factor structure,63,3,2003
6,item-wording effects,63,3,2003
7,test anxiety,63,3,2003
7,test attitudes,63,3,2003
7,selection,63,3,2003
7,Test Attitude Survey (TAS),63,3,2003
8,multidimensionality,63,3,2003
8,attitudes toward individuals with disabilities,63,3,2003
8,measurement,63,3,2003
9,validity,63,3,2003
9,reliability,63,3,2003
9,scale tailoring,63,3,2003
9,extreme-response style,63,3,2003
10,multigroup ethnic identity measure,63,3,2003
10,ethnic identity,63,3,2003
10,racial identity,63,3,2003
10,confirmatory factor analysis,63,3,2003
11,procedural justice,63,3,2003
11,confirmatory factor analysis,63,3,2003
11,test scores,63,3,2003
1,effect size,63,4,2003
1,confidence interval,63,4,2003
1,between-subjects design,63,4,2003
1,within-subjects design,63,4,2003
2,effect sizes,63,4,2003
2,statistical significance testing,63,4,2003
2,confidence intervals,63,4,2003
2,editorial boards,63,4,2003
2,null hypothesis testing,63,4,2003
2,practical significance,63,4,2003
3,goodness-of-fit,63,4,2003
3,IRT,63,4,2003
3,posterior probabilities,63,4,2003
3,performance assessments,63,4,2003
4,cutoff scores,63,4,2003
4,passing scores,63,4,2003
4,Angoff method,63,4,2003
4,standard setting,63,4,2003
4,meta-analysis,63,4,2003
5,error patterns,63,4,2003
5,accommodations,63,4,2003
5,oral reading,63,4,2003
6,multiple comparison procedures,63,4,2003
6,pairwise comparisons,63,4,2003
7,sociotropy,63,4,2003
7,autonomy,63,4,2003
7,depression,63,4,2003
7,latent mean analysis,63,4,2003
7,gender differences,63,4,2003
8,affect,63,4,2003
8,circumplex model,63,4,2003
8,multitrait-multimethod matrix,63,4,2003
8,confirmatory factor analysis,63,4,2003
8,construct validity,63,4,2003
9,self-control,63,4,2003
9,personality measures,63,4,2003
9,general theory of crime,63,4,2003
9,structural equations modeling,63,4,2003
9,deviant behavior,63,4,2003
10,academic self-concept,63,4,2003
10,factor structure,63,4,2003
10,reliability,63,4,2003
10,African American students,63,4,2003
1,item parcel,63,5,2003
1,measures of fit,63,5,2003
1,nonnormal distribution,63,5,2003
1,confirmatory factor analysis,63,5,2003
2,heteroscedasticity,63,5,2003
2,bootstrap,63,5,2003
2,generalized p values,63,5,2003
3,meta-analysis,63,5,2003
3,multilevel,63,5,2003
3,random effects,63,5,2003
3,maximum likelihood,63,5,2003
3,Monte Carlo simulation,63,5,2003
4,item selection,63,5,2003
4,item review,63,5,2003
4,computerized adaptive tests,63,5,2003
4,computerized fixed-item tests,63,5,2003
5,continuous scales,63,5,2003
5,graphic scales,63,5,2003
5,kernel smoothing,63,5,2003
5,factor analysis,63,5,2003
5,measurement error,63,5,2003
6,residuals,63,5,2003
6,contingency tables,63,5,2003
6,omnibus test,63,5,2003
6,Type 1 error,63,5,2003
6,statistical packages,63,5,2003
7,emotional intelligence,63,5,2003
7,validity,63,5,2003
7,personality,63,5,2003
7,cognitive abilities,63,5,2003
8,Purpose in Life,63,5,2003
8,psychometric properties,63,5,2003
8,social drinkers,63,5,2003
8,treatment drinkers,63,5,2003
8,impaired control over drinking,63,5,2003
9,Bem Sex Role Inventory,63,5,2003
9,BSRI,63,5,2003
9,femininity,63,5,2003
9,masculinity,63,5,2003
9,factor structure,63,5,2003
9,construct validation,63,5,2003
