state,county,repgov18,demgov18,othergov18,repsen18,demsen18,othersen18,rephouse18,demhouse18,otherhouse18
Alaska,Alaska,123447,102654,47927,NA,NA,NA,126655,0,107165
Alabama,Autauga,13981,5726,0,NA,NA,NA,13389,6210,0
Alabama,Baldwin,57091,20363,0,NA,NA,NA,59655,17692,0
Alabama,Barbour,4309,3988,0,NA,NA,NA,4165,4107,0
Alabama,Bibb,5082,1796,0,NA,NA,NA,5296,1559,0
Alabama,Blount,16975,2476,0,NA,NA,NA,17410,1954,0
Alabama,Bullock,947,2729,0,NA,NA,NA,849,2829,0
Alabama,Butler,4790,3348,0,NA,NA,NA,4395,3677,0
Alabama,Calhoun,24399,12450,0,NA,NA,NA,24632,12143,0
Alabama,Chambers,6670,4616,0,NA,NA,NA,6507,4168,0
Alabama,Cherokee,6971,1546,0,NA,NA,NA,7088,1359,0
Alabama,Chilton,11283,2494,0,NA,NA,NA,11490,2191,0
Alabama,Choctaw,3470,2648,0,NA,NA,NA,NA,NA,NA
Alabama,Clarke,6313,4865,0,NA,NA,NA,2631,1216,0
Alabama,Clay,4153,1236,0,NA,NA,NA,4321,1045,0
Alabama,Cleburne,3902,508,0,NA,NA,NA,3950,462,0
Alabama,Coffee,12064,3755,0,NA,NA,NA,11703,4113,0
Alabama,Colbert,13145,7675,0,NA,NA,NA,13659,6897,0
Alabama,Conecuh,2473,2441,0,NA,NA,NA,2391,2460,0
Alabama,Coosa,2781,1521,0,NA,NA,NA,2810,1438,0
Alabama,Covington,9838,2162,0,NA,NA,NA,9602,2357,0
Alabama,Crenshaw,3869,1522,0,NA,NA,NA,3576,1769,0
Alabama,Cullman,24341,4308,0,NA,NA,NA,25226,3357,0
Alabama,Dale,10522,3727,0,NA,NA,NA,9921,4257,0
Alabama,Dallas,4914,10284,0,NA,NA,NA,NA,NA,NA
Alabama,DeKalb,17305,4084,0,NA,NA,NA,17457,3698,0
Alabama,Elmore,21743,7711,0,NA,NA,NA,21009,8282,0
Alabama,Escambia,8095,4035,0,NA,NA,NA,8310,3763,0
Alabama,Etowah,23940,10465,0,NA,NA,NA,25281,8964,0
Alabama,Fayette,5450,2014,0,NA,NA,NA,5847,1482,0
Alabama,Franklin,6451,2334,0,NA,NA,NA,6837,1866,0
Alabama,Geneva,7780,1219,0,NA,NA,NA,7362,1542,0
Alabama,Greene,661,3506,0,NA,NA,NA,NA,NA,NA
Alabama,Hale,2361,4204,0,NA,NA,NA,NA,NA,NA
Alabama,Henry,4653,2037,0,NA,NA,NA,4416,2245,0
Alabama,Houston,23012,8993,0,NA,NA,NA,21976,9888,0
Alabama,Jackson,12066,3565,0,NA,NA,NA,12042,3517,0
Alabama,Jefferson,105509,151736,0,NA,NA,NA,96352,55122,0
Alabama,Lamar,4397,973,0,NA,NA,NA,4530,823,0
Alabama,Lauderdale,20561,10154,0,NA,NA,NA,20369,10225,0
Alabama,Lawrence,8146,3775,0,NA,NA,NA,8567,3164,0
Alabama,Lee,29135,19931,0,NA,NA,NA,28173,20904,0
Alabama,Limestone,23069,10335,0,NA,NA,NA,23000,10260,0
Alabama,Lowndes,1555,3487,0,NA,NA,NA,NA,NA,NA
Alabama,Macon,1374,5862,0,NA,NA,NA,1235,5967,0
Alabama,Madison,75554,65127,0,NA,NA,NA,74528,66012,0
Alabama,Marengo,4025,4729,0,NA,NA,NA,NA,NA,NA
Alabama,Marion,8021,1876,0,NA,NA,NA,8570,1272,0
Alabama,Marshall,22020,5188,0,NA,NA,NA,22904,4266,0
Alabama,Mobile,69117,62912,0,NA,NA,NA,71941,59853,0
Alabama,Monroe,5033,3859,0,NA,NA,NA,4974,3841,0
Alabama,Montgomery,28405,48534,0,NA,NA,NA,26186,35204,0
Alabama,Morgan,28318,11044,0,NA,NA,NA,28485,10769,0
Alabama,Perry,1058,3176,0,NA,NA,NA,NA,NA,NA
Alabama,Pickens,4634,3666,0,NA,NA,NA,NA,NA,NA
Alabama,Pike,6219,4173,0,NA,NA,NA,5794,4552,0
Alabama,Randolph,5723,1854,0,NA,NA,NA,5768,1805,0
Alabama,Russell,7166,7861,0,NA,NA,NA,7001,8016,0
Alabama,Shelby,56839,26824,0,NA,NA,NA,60170,23193,0
Alabama,St. Clair,23507,6373,0,NA,NA,NA,24248,5575,0
Alabama,Sumter,1289,4146,0,NA,NA,NA,NA,NA,NA
Alabama,Talladega,15608,10596,0,NA,NA,NA,15950,10202,0
Alabama,Tallapoosa,10678,4998,0,NA,NA,NA,10967,4673,0
Alabama,Tuscaloosa,34293,34268,0,NA,NA,NA,17520,5447,0
Alabama,Walker,17643,5453,0,NA,NA,NA,18869,4097,0
Alabama,Washington,4724,2168,0,NA,NA,NA,4797,2000,0
Alabama,Wilcox,1577,3138,0,NA,NA,NA,NA,NA,NA
Alabama,Winston,6569,1100,0,NA,NA,NA,6826,826,0
Arkansas,Calhoun,1324,420,33,NA,NA,NA,1259,478,28
Arkansas,Clay,3218,782,132,NA,NA,NA,3182,842,90
Arkansas,Cleburne,7856,1495,273,NA,NA,NA,7928,1503,185
Arkansas,Dallas,1317,773,26,NA,NA,NA,1280,807,25
Arkansas,Franklin,4204,916,175,NA,NA,NA,4023,1119,117
Arkansas,Greene,8270,2082,590,NA,NA,NA,8464,2171,268
Arkansas,Jackson,2997,1066,106,NA,NA,NA,3013,1081,73
Arkansas,Jefferson,9005,10406,409,NA,NA,NA,7837,11336,382
Arkansas,Lawrence,3584,908,177,NA,NA,NA,3616,922,126
Arkansas,Lee,947,1130,42,NA,NA,NA,924,1154,23
Arkansas,Madison,4132,1280,142,NA,NA,NA,3931,1422,135
Arkansas,Marion,3918,1015,175,NA,NA,NA,3914,1073,117
Arkansas,Monroe,1411,1062,39,NA,NA,NA,1323,1089,49
Arkansas,Montgomery,2202,557,69,NA,NA,NA,2159,614,52
Arkansas,Perry,2728,838,132,NA,NA,NA,2566,1046,88
Arkansas,Pike,2708,563,87,NA,NA,NA,2664,599,70
Arkansas,Randolph,4273,1055,314,NA,NA,NA,4258,1139,186
Arkansas,Washington,35879,27912,1841,NA,NA,NA,34268,29633,1595
Arkansas,Arkansas,3530,1352,77,NA,NA,NA,3428,1403,86
Arkansas,Ashley,4294,1739,140,NA,NA,NA,4140,1888,83
Arkansas,Baxter,10681,2965,679,NA,NA,NA,10700,3175,354
Arkansas,Benton,52673,21820,1996,NA,NA,NA,50977,23294,2126
Arkansas,Boone,9026,2206,386,NA,NA,NA,9130,2236,233
Arkansas,Bradley,1904,866,80,NA,NA,NA,1831,934,70
Arkansas,Carroll,5782,2965,204,NA,NA,NA,5650,3090,188
Arkansas,Chicot,1638,1855,56,NA,NA,NA,1537,1927,61
Arkansas,Clark,3987,2609,132,NA,NA,NA,3766,2846,107
Arkansas,Cleveland,1988,508,56,NA,NA,NA,1984,530,37
Arkansas,Columbia,4199,2042,98,NA,NA,NA,4092,2169,66
Arkansas,Conway,1562,872,58,NA,NA,NA,3859,2258,111
Arkansas,Craighead,17297,7385,1357,NA,NA,NA,17370,8068,565
Arkansas,Crawford,13164,3110,538,NA,NA,NA,13055,3289,421
Arkansas,Crittenden,5758,5792,307,NA,NA,NA,5585,6041,175
Arkansas,Cross,4079,1467,182,NA,NA,NA,4201,1412,102
Arkansas,Desha,1829,1551,76,NA,NA,NA,1643,1645,82
Arkansas,Drew,3142,1301,109,NA,NA,NA,2947,1486,76
Arkansas,Faulkner,25533,11622,1224,NA,NA,NA,23613,13649,1095
Arkansas,Fulton,2829,900,103,NA,NA,NA,2790,933,75
Arkansas,Garland,21403,8628,921,NA,NA,NA,20639,9736,557
Arkansas,Grant,4512,897,126,NA,NA,NA,4453,985,93
Arkansas,Hempstead,3308,1552,105,NA,NA,NA,3191,1687,59
Arkansas,Hot Spring,6352,2102,258,NA,NA,NA,6246,2264,176
Arkansas,Howard,2486,974,56,NA,NA,NA,2450,1008,46
Arkansas,Independence,7723,1928,483,NA,NA,NA,7869,1980,240
Arkansas,Izard,3417,868,179,NA,NA,NA,3518,837,85
Arkansas,Johnson,5526,1655,259,NA,NA,NA,5180,1979,231
