IL,ToplamSandik,ToplamSecmen,KullanilanOy,GecerliOy,Parti,Oy,Turnout,GecerliOy.Orani,Parti.Oran
Adana,4901,1536508,1279815,1222892,SP,23252,0.832937414,0.955522478,0.019013944
Adana,4901,1536508,1279815,1222892,BTP,3202,0.832937414,0.955522478,0.002618383
Adana,4901,1536508,1279815,1222892,TKP,2568,0.832937414,0.955522478,0.00209994
Adana,4901,1536508,1279815,1222892,VP,6188,0.832937414,0.955522478,0.005060136
Adana,4901,1536508,1279815,1222892,CHP,655867,0.832937414,0.955522478,0.536324549
Adana,4901,1536508,1279815,1222892,MHP,523755,0.832937414,0.955522478,0.428292114
Adana,4901,1536508,1279815,1222892,DSP,6391,0.832937414,0.955522478,0.005226136
Adana,4901,1536508,1279815,1222892,Bagimsiz,1669,0.832937414,0.955522478,0.001364798
Adiyaman,485,159663,128635,123641,SP,34766,0.805665683,0.961176974,0.281185044
Adiyaman,485,159663,128635,123641,BTP,256,0.805665683,0.961176974,0.002070511
Adiyaman,485,159663,128635,123641,TKP,268,0.805665683,0.961176974,0.002167566
Adiyaman,485,159663,128635,123641,VP,172,0.805665683,0.961176974,0.001391124
Adiyaman,485,159663,128635,123641,AKP,65805,0.805665683,0.961176974,0.532226365
Adiyaman,485,159663,128635,123641,MHP,6720,0.805665683,0.961176974,0.054350903
Adiyaman,485,159663,128635,123641,IYI,14678,0.805665683,0.961176974,0.118714666
Adiyaman,485,159663,128635,123641,DSP,331,0.805665683,0.961176974,0.002677105
Adiyaman,485,159663,128635,123641,Bagimsiz,446,0.805665683,0.961176974,0.003607218
Adiyaman,485,159663,128635,123641,Bagimsiz,136,0.805665683,0.961176974,0.001099959
Adiyaman,485,159663,128635,123641,Bagimsiz,63,0.805665683,0.961176974,0.00050954
Afyonkarahisar,457,148907,131095,127368,SP,741,0.880381715,0.971570235,0.005817788
Afyonkarahisar,457,148907,131095,127368,BTP,67,0.880381715,0.971570235,0.000526035
Afyonkarahisar,457,148907,131095,127368,TKP,111,0.880381715,0.971570235,0.00087149
Afyonkarahisar,457,148907,131095,127368,VP,135,0.880381715,0.971570235,0.001059921
Afyonkarahisar,457,148907,131095,127368,AKP,54712,0.880381715,0.971570235,0.429558445
Afyonkarahisar,457,148907,131095,127368,MHP,20725,0.880381715,0.971570235,0.16271748
Afyonkarahisar,457,148907,131095,127368,IYI,50562,0.880381715,0.971570235,0.396975692
Afyonkarahisar,457,148907,131095,127368,DSP,315,0.880381715,0.971570235,0.002473149
Agri,194,64435,48815,46427,SP,949,0.757585163,0.95108061,0.020440692
Agri,194,64435,48815,46427,BTP,57,0.757585163,0.95108061,0.001227734
Agri,194,64435,48815,46427,TKP,64,0.757585163,0.95108061,0.001378508
Agri,194,64435,48815,46427,CHP,892,0.757585163,0.95108061,0.019212958
Agri,194,64435,48815,46427,AKP,25799,0.757585163,0.95108061,0.555689577
Agri,194,64435,48815,46427,IYI,1227,0.757585163,0.95108061,0.026428587
Agri,194,64435,48815,46427,HDP,17240,0.757585163,0.95108061,0.371335645
Agri,194,64435,48815,46427,DSP,67,0.757585163,0.95108061,0.001443126
Agri,194,64435,48815,46427,Bagimsiz,44,0.757585163,0.95108061,0.000947724
Agri,194,64435,48815,46427,Bagimsiz,25,0.757585163,0.95108061,0.00053848
Agri,194,64435,48815,46427,Bagimsiz,63,0.757585163,0.95108061,0.001356969
Amasya,231,74272,64868,63123,SP,546,0.873384317,0.973099217,0.008649779
Amasya,231,74272,64868,63123,BTP,46,0.873384317,0.973099217,0.000728736
Amasya,231,74272,64868,63123,TKP,53,0.873384317,0.973099217,0.000839631
Amasya,231,74272,64868,63123,VP,42,0.873384317,0.973099217,0.000665368
Amasya,231,74272,64868,63123,CHP,10887,0.873384317,0.973099217,0.172472791
Amasya,231,74272,64868,63123,AKP,21597,0.873384317,0.973099217,0.342141533
Amasya,231,74272,64868,63123,MHP,29847,0.873384317,0.973099217,0.472838743
Amasya,231,74272,64868,63123,DSP,62,0.873384317,0.973099217,0.000982209
Amasya,231,74272,64868,63123,Bagimsiz,43,0.873384317,0.973099217,0.00068121
Ankara,12180,3925129,3362638,3263409,SP,34175,0.856694901,0.970490728,0.010472178
Ankara,12180,3925129,3362638,3263409,BTP,5573,0.856694901,0.970490728,0.001707723
Ankara,12180,3925129,3362638,3263409,TKP,4628,0.856694901,0.970490728,0.001418149
Ankara,12180,3925129,3362638,3263409,VP,6764,0.856694901,0.970490728,0.002072679
Ankara,12180,3925129,3362638,3263409,CHP,1662183,0.856694901,0.970490728,0.509339467
Ankara,12180,3925129,3362638,3263409,AKP,1537694,0.856694901,0.970490728,0.471192547
Ankara,12180,3925129,3362638,3263409,DSP,9698,0.856694901,0.970490728,0.002971739
Ankara,12180,3925129,3362638,3263409,Bagimsiz,723,0.856694901,0.970490728,0.000221547
Ankara,12180,3925129,3362638,3263409,Bagimsiz,440,0.856694901,0.970490728,0.000134828
Ankara,12180,3925129,3362638,3263409,Bagimsiz,504,0.856694901,0.970490728,0.00015444
Ankara,12180,3925129,3362638,3263409,Bagimsiz,612,0.856694901,0.970490728,0.000187534
Ankara,12180,3925129,3362638,3263409,Bagimsiz,415,0.856694901,0.970490728,0.000127168
Antalya,5437,1708975,1456390,1411008,SP,13601,0.852200881,0.968839391,0.009639208
Antalya,5437,1708975,1456390,1411008,BTP,2071,0.852200881,0.968839391,0.001467745
Antalya,5437,1708975,1456390,1411008,TKP,2135,0.852200881,0.968839391,0.001513103
Antalya,5437,1708975,1456390,1411008,VP,3711,0.852200881,0.968839391,0.002630035
Antalya,5437,1708975,1456390,1411008,CHP,714301,0.852200881,0.968839391,0.50623455
Antalya,5437,1708975,1456390,1411008,AKP,652880,0.852200881,0.968839391,0.462704676
Antalya,5437,1708975,1456390,1411008,DP,8073,0.852200881,0.968839391,0.005721442
Antalya,5437,1708975,1456390,1411008,DSP,13477,0.852200881,0.968839391,0.009551328
Antalya,5437,1708975,1456390,1411008,Bagimsiz,759,0.852200881,0.968839391,0.000537913
Artvin,60,16812,14526,14054,SP,120,0.864025696,0.96750654,0.008538494
Artvin,60,16812,14526,14054,BTP,154,0.864025696,0.96750654,0.010957734
Artvin,60,16812,14526,14054,CHP,7162,0.864025696,0.96750654,0.509605806
Artvin,60,16812,14526,14054,AKP,6077,0.864025696,0.96750654,0.432403586
Artvin,60,16812,14526,14054,DSP,29,0.864025696,0.96750654,0.002063469
Artvin,60,16812,14526,14054,Bagimsiz,512,0.864025696,0.96750654,0.036430909
Aydin,2754,821282,709289,683704,SP,5641,0.863636364,0.963928667,0.008250646
Aydin,2754,821282,709289,683704,BTP,1302,0.863636364,0.963928667,0.001904333
Aydin,2754,821282,709289,683704,TKP,1836,0.863636364,0.963928667,0.002685373
Aydin,2754,821282,709289,683704,VP,2890,0.863636364,0.963928667,0.004226975
Aydin,2754,821282,709289,683704,CHP,368791,0.863636364,0.963928667,0.539401554
Aydin,2754,821282,709289,683704,AKP,299056,0.863636364,0.963928667,0.437405661
Aydin,2754,821282,709289,683704,DSP,4188,0.863636364,0.963928667,0.006125458
Balikesir,3382,942830,817225,785412,SP,7810,0.866778741,0.96107192,0.009943826
Balikesir,3382,942830,817225,785412,BTP,2143,0.866778741,0.96107192,0.002728504
Balikesir,3382,942830,817225,785412,TKP,1381,0.866778741,0.96107192,0.001758313
Balikesir,3382,942830,817225,785412,VP,3709,0.866778741,0.96107192,0.004722362
Balikesir,3382,942830,817225,785412,AKP,375253,0.866778741,0.96107192,0.477778542
Balikesir,3382,942830,817225,785412,DP,12776,0.866778741,0.96107192,0.016266622
Balikesir,3382,942830,817225,785412,IYI,365196,0.866778741,0.96107192,0.464973797
Balikesir,3382,942830,817225,785412,HDP,10195,0.866778741,0.96107192,0.012980448
Balikesir,3382,942830,817225,785412,DSP,5880,0.866778741,0.96107192,0.007486517
Balikesir,3382,942830,817225,785412,Bagimsiz,1069,0.866778741,0.96107192,0.001361069
Bilecik,120,38977,33492,32512,SP,299,0.859275983,0.970739281,0.009196604
Bilecik,120,38977,33492,32512,BTP,49,0.859275983,0.970739281,0.001507136
Bilecik,120,38977,33492,32512,TKP,28,0.859275983,0.970739281,0.00086122
Bilecik,120,38977,33492,32512,VP,111,0.859275983,0.970739281,0.003414124
Bilecik,120,38977,33492,32512,BBP,1633,0.859275983,0.970739281,0.050227608
Bilecik,120,38977,33492,32512,CHP,16464,0.859275983,0.970739281,0.506397638
Bilecik,120,38977,33492,32512,AKP,13662,0.859275983,0.970739281,0.420214075
Bilecik,120,38977,33492,32512,DP,233,0.859275983,0.970739281,0.007166585
Bilecik,120,38977,33492,32512,DSP,33,0.859275983,0.970739281,0.00101501
Bingöl,224,73020,52621,49100,SP,1036,0.720638181,0.933087551,0.021099796
Bingöl,224,73020,52621,49100,BTP,37,0.720638181,0.933087551,0.000753564
Bingöl,224,73020,52621,49100,TKP,57,0.720638181,0.933087551,0.001160896
Bingöl,224,73020,52621,49100,BBP,197,0.720638181,0.933087551,0.00401222
Bingöl,224,73020,52621,49100,CHP,573,0.720638181,0.933087551,0.011670061
Bingöl,224,73020,52621,49100,AKP,18954,0.720638181,0.933087551,0.386028513
Bingöl,224,73020,52621,49100,MHP,13233,0.720638181,0.933087551,0.269511202
Bingöl,224,73020,52621,49100,HDP,14948,0.720638181,0.933087551,0.304439919
Bingöl,224,73020,52621,49100,DSP,65,0.720638181,0.933087551,0.001323829
Bitlis,105,31004,24864,23270,SP,4359,0.801961037,0.935891248,0.187322733
Bitlis,105,31004,24864,23270,BTP,42,0.801961037,0.935891248,0.001804899
Bitlis,105,31004,24864,23270,TKP,48,0.801961037,0.935891248,0.002062742
Bitlis,105,31004,24864,23270,CHP,315,0.801961037,0.935891248,0.013536743
Bitlis,105,31004,24864,23270,AKP,10194,0.801961037,0.935891248,0.438074774
Bitlis,105,31004,24864,23270,DP,155,0.801961037,0.935891248,0.006660937
Bitlis,105,31004,24864,23270,IYI,368,0.801961037,0.935891248,0.015814353
Bitlis,105,31004,24864,23270,HDP,7691,0.801961037,0.935891248,0.330511388
Bitlis,105,31004,24864,23270,DSP,98,0.801961037,0.935891248,0.004211431
Bolu,354,113924,97578,94288,SP,1488,0.856518381,0.966283384,0.015781436
Bolu,354,113924,97578,94288,BTP,151,0.856518381,0.966283384,0.001601476
Bolu,354,113924,97578,94288,TKP,118,0.856518381,0.966283384,0.001251485
Bolu,354,113924,97578,94288,VP,311,0.856518381,0.966283384,0.003298405
Bolu,354,113924,97578,94288,CHP,49697,0.856518381,0.966283384,0.527076616
Bolu,354,113924,97578,94288,AKP,42179,0.856518381,0.966283384,0.447342186
Bolu,354,113924,97578,94288,HDP,212,0.856518381,0.966283384,0.00224843
Bolu,354,113924,97578,94288,DSP,132,0.856518381,0.966283384,0.001399966
Burdur,194,58760,51329,49898,SP,804,0.873536419,0.972121023,0.01611287
Burdur,194,58760,51329,49898,BTP,29,0.873536419,0.972121023,0.000581186
Burdur,194,58760,51329,49898,TKP,64,0.873536419,0.972121023,0.001282617
Burdur,194,58760,51329,49898,VP,259,0.873536419,0.972121023,0.005190589
Burdur,194,58760,51329,49898,CHP,26515,0.873536419,0.972121023,0.531384023
Burdur,194,58760,51329,49898,AKP,21929,0.873536419,0.972121023,0.439476532
Burdur,194,58760,51329,49898,HDP,159,0.873536419,0.972121023,0.0031865
Burdur,194,58760,51329,49898,DSP,139,0.873536419,0.972121023,0.002785683
Bursa,6841,2177764,1869050,1810384,SP,32589,0.858242675,0.968611862,0.018001153
Bursa,6841,2177764,1869050,1810384,BTP,3545,0.858242675,0.968611862,0.001958148
Bursa,6841,2177764,1869050,1810384,TKP,1451,0.858242675,0.968611862,0.000801487
Bursa,6841,2177764,1869050,1810384,VP,4170,0.858242675,0.968611862,0.002303379
Bursa,6841,2177764,1869050,1810384,CHP,851360,0.858242675,0.968611862,0.470264872
Bursa,6841,2177764,1869050,1810384,AKP,898292,0.858242675,0.968611862,0.496188654
Bursa,6841,2177764,1869050,1810384,DP,11746,0.858242675,0.968611862,0.006488126
Bursa,6841,2177764,1869050,1810384,DSP,5976,0.858242675,0.968611862,0.003300957
Bursa,6841,2177764,1869050,1810384,Bagimsiz,1255,0.858242675,0.968611862,0.000693223
Çanakkale,286,93936,77881,76037,SP,582,0.829085761,0.976322852,0.007654168
Çanakkale,286,93936,77881,76037,BTP,220,0.829085761,0.976322852,0.002893328
Çanakkale,286,93936,77881,76037,TKP,262,0.829085761,0.976322852,0.003445691
Çanakkale,286,93936,77881,76037,BBP,446,0.829085761,0.976322852,0.005865565
Çanakkale,286,93936,77881,76037,CHP,46178,0.829085761,0.976322852,0.607309599
Çanakkale,286,93936,77881,76037,AKP,27080,0.829085761,0.976322852,0.356142404
Çanakkale,286,93936,77881,76037,DSP,279,0.829085761,0.976322852,0.003669266
Çanakkale,286,93936,77881,76037,Bagimsiz,990,0.829085761,0.976322852,0.013019977
Çankiri,160,51963,43286,41849,SP,477,0.8330158,0.966802199,0.011398122
Çankiri,160,51963,43286,41849,BTP,33,0.8330158,0.966802199,0.000788549
Çankiri,160,51963,43286,41849,TKP,27,0.8330158,0.966802199,0.000645177
Çankiri,160,51963,43286,41849,VP,35,0.8330158,0.966802199,0.00083634
