Il,Ilce,ToplamSandik,ToplamSecmen,KullanilanOy,GecerliOy,Parti,Oy,Turnout,GecerliOy.Orani,Parti.Oran
ADANA,Seyhan,1627,542125,434550,419259,SP,5402,0.801567904,0.964811874,0.012884637
ADANA,Seyhan,1627,542125,434550,419259,BTP,594,0.801567904,0.964811874,0.001416785
ADANA,Seyhan,1627,542125,434550,419259,TKP,745,0.801567904,0.964811874,0.001776945
ADANA,Seyhan,1627,542125,434550,419259,VP,713,0.801567904,0.964811874,0.001700619
ADANA,Seyhan,1627,542125,434550,419259,BBP,3118,0.801567904,0.964811874,0.00743693
ADANA,Seyhan,1627,542125,434550,419259,CHP,242482,0.801567904,0.964811874,0.578358485
ADANA,Seyhan,1627,542125,434550,419259,AKP,160684,0.801567904,0.964811874,0.383257127
ADANA,Seyhan,1627,542125,434550,419259,DP,1267,0.801567904,0.964811874,0.003021998
ADANA,Seyhan,1627,542125,434550,419259,DSP,4254,0.801567904,0.964811874,0.010146473
ADANA,Ceyhan,386,111614,96489,92568,SP,1272,0.864488326,0.959363243,0.01374125
ADANA,Ceyhan,386,111614,96489,92568,BTP,135,0.864488326,0.959363243,0.001458387
ADANA,Ceyhan,386,111614,96489,92568,VP,169,0.864488326,0.959363243,0.001825685
ADANA,Ceyhan,386,111614,96489,92568,BBP,421,0.864488326,0.959363243,0.004548008
ADANA,Ceyhan,386,111614,96489,92568,CHP,46873,0.864488326,0.959363243,0.50636289
ADANA,Ceyhan,386,111614,96489,92568,AKP,43266,0.864488326,0.959363243,0.467396941
ADANA,Ceyhan,386,111614,96489,92568,DSP,297,0.864488326,0.959363243,0.003208452
ADANA,Ceyhan,386,111614,96489,92568,Bagimsiz,135,0.864488326,0.959363243,0.001458387
ADANA,Feke,65,13927,12910,11991,SP,198,0.926976377,0.928814872,0.016512384
ADANA,Feke,65,13927,12910,11991,BTP,128,0.926976377,0.928814872,0.010674673
ADANA,Feke,65,13927,12910,11991,VP,51,0.926976377,0.928814872,0.00425319
ADANA,Feke,65,13927,12910,11991,BBP,2375,0.926976377,0.928814872,0.198065216
ADANA,Feke,65,13927,12910,11991,MHP,8141,0.926976377,0.928814872,0.678925861
ADANA,Feke,65,13927,12910,11991,IYI,982,0.926976377,0.928814872,0.081894754
ADANA,Feke,65,13927,12910,11991,Bagimsiz,116,0.926976377,0.928814872,0.009673922
ADANA,Karaisali,83,16709,15717,15017,SP,183,0.940630798,0.955462238,0.012186189
ADANA,Karaisali,83,16709,15717,15017,BTP,12,0.940630798,0.955462238,0.000799094
ADANA,Karaisali,83,16709,15717,15017,VP,17,0.940630798,0.955462238,0.00113205
ADANA,Karaisali,83,16709,15717,15017,BBP,70,0.940630798,0.955462238,0.004661384
ADANA,Karaisali,83,16709,15717,15017,MHP,10498,0.940630798,0.955462238,0.699074382
ADANA,Karaisali,83,16709,15717,15017,IYI,4140,0.940630798,0.955462238,0.275687554
ADANA,Karaisali,83,16709,15717,15017,DSP,36,0.940630798,0.955462238,0.002397283
ADANA,Karaisali,83,16709,15717,15017,Bagimsiz,61,0.940630798,0.955462238,0.004062063
ADANA,Karatas,73,17546,15916,15356,SP,97,0.907101334,0.96481528,0.006316749
ADANA,Karatas,73,17546,15916,15356,BTP,10,0.907101334,0.96481528,0.000651211
ADANA,Karatas,73,17546,15916,15356,VP,11,0.907101334,0.96481528,0.000716332
ADANA,Karatas,73,17546,15916,15356,BBP,75,0.907101334,0.96481528,0.004884084
ADANA,Karatas,73,17546,15916,15356,CHP,6986,0.907101334,0.96481528,0.454936181
ADANA,Karatas,73,17546,15916,15356,DP,255,0.907101334,0.96481528,0.016605887
ADANA,Karatas,73,17546,15916,15356,MHP,7881,0.907101334,0.96481528,0.513219588
ADANA,Karatas,73,17546,15916,15356,DSP,41,0.907101334,0.96481528,0.002669966
ADANA,Kozan,323,93515,82776,78488,SP,20249,0.885162808,0.948197545,0.257988482
ADANA,Kozan,323,93515,82776,78488,BTP,379,0.885162808,0.948197545,0.004828764
ADANA,Kozan,323,93515,82776,78488,VP,267,0.885162808,0.948197545,0.003401794
ADANA,Kozan,323,93515,82776,78488,BBP,7370,0.885162808,0.948197545,0.093899704
