"Il","Ilce","ToplamSandik","ToplamSecmen","KullanilanOy","GecerliOy","Turnout","GecerliOy.Orani","Oy.SP","Parti.Oran.SP","Oy.BTP","Parti.Oran.BTP","Oy.TKP","Parti.Oran.TKP","Oy.VP","Parti.Oran.VP","Oy.BBP","Parti.Oran.BBP","Oy.CHP","Parti.Oran.CHP","Oy.AKP","Parti.Oran.AKP","Oy.DP","Parti.Oran.DP","Oy.DSP","Parti.Oran.DSP","Oy.Bagimsiz","Parti.Oran.Bagimsiz","Oy.MHP","Parti.Oran.MHP","Oy.IYI","Parti.Oran.IYI","Oy.HDP","Parti.Oran.HDP"
"ADANA","Seyhan",1627,542125,434550,419259,0.801567904081162,0.964811874352779,5402,0.0128846369427967,594,0.00141678532840082,745,0.00177694456171483,713,0.00170061942617809,3118,0.00743693039386155,242482,0.578358484850653,160684,0.383257127455821,1267,0.00302199833515798,4254,0.010146472705416,0,0,0,0,0,0,0,0
"ADANA","Ceyhan",386,111614,96489,92568,0.864488325837261,0.959363243478531,1272,0.0137412496759139,135,0.00145838734767954,0,0,169,0.00182568490190995,421,0.00454800795091176,46873,0.50636288998358,43266,0.467396940627431,0,0,297,0.003208452164895,135,0.00145838734767954,0,0,0,0,0,0
"ADANA","Feke",65,13927,12910,11991,0.926976376822,0.928814872192099,198,0.0165123842882162,128,0.01067467267117,0,0,51,0.00425318989241931,2375,0.19806521557835,0,0,0,0,0,0,0,0,116,0.00967392210824785,8141,0.678925861062464,982,0.0818947543991327,0,0
"ADANA","Karaisali",83,16709,15717,15017,0.940630797773655,0.95546223834065,183,0.0121861889858161,12,0.000799094359725644,0,0,17,0.00113205034294466,70,0.00466138376506626,0,0,0,0,0,0,36,0.00239728307917693,61,0.00406206299527203,10498,0.699074382366651,4140,0.275687554105347,0,0
"ADANA","Karatas",73,17546,15916,15356,0.907101333637296,0.964815280221161,97,0.00631674915342537,10,0.000651211252930451,0,0,11,0.000716332378223496,75,0.00488408439697838,6986,0.454936181297213,0,0,255,0.0166058869497265,41,0.00266996613701485,0,0,7881,0.513219588434488,0,0,0,0
"ADANA","Kozan",323,93515,82776,78488,0.885162808105652,0.948197545182178,20249,0.257988482315768,379,0.00482876363265722,0,0,267,0.00340179390480073,7370,0.0938997044134135,0,0,0,0,312,0.00397512995617164,226,0.00287942105799613,0,0,31385,0.399870043828356,18090,0.230481092651106,210,0.00267556823973091
"ADANA","Pozanti",56,15496,13544,12884,0.874032008260196,0.95126993502658,167,0.0129618131015213,268,0.0208009934802856,0,0,14,0.00108661906240298,25,0.00194039118286247,3394,0.263427506985408,0,0,0,0,54,0.00419124495498292,3034,0.235485873952189,5595,0.43425954672462,311,0.0241384663148091,22,0.00170754424091897
"ADANA","Saimbeyli",47,11667,10448,9828,0.895517270935116,0.940658499234303,104,0.0105820105820106,69,0.00702075702075702,0,0,44,0.00447700447700448,1923,0.195665445665446,0,0,0,0,0,0,27,0.00274725274725275,0,0,5971,0.607549857549858,1690,0.171957671957672,0,0
"ADANA","Tufanbeyli",61,13083,11864,11130,0.906825651608958,0.938132164531355,55,0.00494159928122192,20,0.00179694519317161,0,0,27,0.00242587601078167,61,0.0054806828391734,5455,0.490116801437556,5500,0.494159928122192,0,0,12,0.00107816711590297,0,0,0,0,0,0,0,0
"ADANA","Yumurtalik",53,14343,13114,12595,0.914313602454159,0.960423974378527,87,0.00690750297737197,5,0.000396982929734021,0,0,6,0.000476379515680826,41,0.00325526002381898,5693,0.452004763795157,0,0,61,0.00484319174275506,7,0.00055577610162763,0,0,6244,0.495752282651846,451,0.0358078602620087,0,0
