state,county,repgov14,demgov14,othergov14
Alabama,Autauga,9427,3638,0
Alabama,Baldwin,37650,8416,0
Alabama,Barbour,3111,3651,0
Alabama,Bibb,3525,1368,0
Alabama,Blount,12074,2178,0
Alabama,Bullock,747,2440,0
Alabama,Butler,3148,2741,0
Alabama,Calhoun,17688,9082,0
Alabama,Chambers,3635,4587,0
Alabama,Cherokee,5007,1868,0
Alabama,Chilton,9028,2419,0
Alabama,Choctaw,2380,1947,0
Alabama,Clarke,5000,3524,0
Alabama,Clay,3199,1215,0
Alabama,Cleburne,3129,717,0
Alabama,Coffee,8545,2403,0
Alabama,Colbert,9524,6111,0
Alabama,Conecuh,2370,2344,0
Alabama,Coosa,2259,1579,0
Alabama,Covington,6155,1777,0
Alabama,Crenshaw,2953,1762,0
Alabama,Cullman,16592,3693,0
Alabama,Dale,8170,2794,0
Alabama,Dallas,4115,8444,0
Alabama,DeKalb,12562,3678,0
Alabama,Elmore,15138,5500,0
Alabama,Escambia,6012,3028,0
Alabama,Etowah,17443,8840,0
Alabama,Fayette,4837,1951,0
Alabama,Franklin,4949,2617,0
Alabama,Geneva,6116,1219,0
Alabama,Greene,538,2857,0
Alabama,Hale,2000,3168,0
Alabama,Henry,3330,1774,0
Alabama,Houston,17214,6198,0
Alabama,Jackson,8244,3227,0
Alabama,Jefferson,83005,82652,0
Alabama,Lamar,3155,1249,0
Alabama,Lauderdale,15725,7399,0
Alabama,Lawrence,5851,3293,0
Alabama,Lee,16188,10004,0
Alabama,Limestone,17471,5327,0
Alabama,Lowndes,1174,3127,0
Alabama,Macon,829,4828,0
Alabama,Madison,60065,25929,0
Alabama,Marengo,3149,3759,0
Alabama,Marion,6058,2098,0
Alabama,Marshall,16515,3342,0
Alabama,Mobile,48401,34530,0
Alabama,Monroe,3499,2570,0
Alabama,Montgomery,23757,33261,0
Alabama,Morgan,22384,6693,0
Alabama,Perry,961,2627,0
Alabama,Pickens,3527,2525,0
Alabama,Pike,5294,3783,0
Alabama,Randolph,4075,1916,0
Alabama,Russell,4440,4757,0
Alabama,Shelby,40201,10298,0
Alabama,St. Clair,15891,3504,0
Alabama,Sumter,1051,3093,0
Alabama,Talladega,11331,7874,0
Alabama,Tallapoosa,8002,4041,0
Alabama,Tuscaloosa,25340,17165,0
Alabama,Walker,12292,4794,0
Alabama,Washington,3215,1726,0
Alabama,Wilcox,1346,2908,0
Alabama,Winston,5351,1391,0
Arkansas,Arkansas,2676,2317,103
Arkansas,Ashley,3037,3077,132
Arkansas,Baxter,9681,4673,575
Arkansas,Benton,43059,16881,2243
Arkansas,Boone,7354,3105,511
Arkansas,Bradley,1326,1471,45
Arkansas,Calhoun,847,727,42
